Dates,Nikkei 225 Index (^N225) - Index Value
Nov-30-2010,9937.04
Dec-01-2010,9988.05
Dec-02-2010,10168.52
Dec-03-2010,10178.32
Dec-06-2010,10167.23
Dec-07-2010,10141.10
Dec-08-2010,10232.33
Dec-09-2010,10285.88
Dec-10-2010,10211.95
Dec-13-2010,10293.89
Dec-14-2010,10316.77
Dec-15-2010,10309.78
Dec-16-2010,10311.29
Dec-17-2010,10303.83
Dec-20-2010,10216.41
Dec-21-2010,10370.53
Dec-22-2010,10346.48
Dec-24-2010,10279.19
Dec-27-2010,10355.99
Dec-28-2010,10292.63
Dec-29-2010,10344.54
Dec-30-2010,10228.92
Jan-04-2011,10398.10
Jan-05-2011,10380.77
Jan-06-2011,10529.76
Jan-07-2011,10541.04
Jan-11-2011,10510.68
Jan-12-2011,10512.80
Jan-13-2011,10589.76
Jan-14-2011,10499.04
Jan-17-2011,10502.86
Jan-18-2011,10518.98
Jan-19-2011,10557.10
Jan-20-2011,10437.31
Jan-21-2011,10274.52
Jan-24-2011,10345.11
Jan-25-2011,10464.42
Jan-26-2011,10401.90
Jan-27-2011,10478.66
Jan-28-2011,10360.34
Jan-31-2011,10237.92
Feb-01-2011,10274.50
Feb-02-2011,10457.36
Feb-03-2011,10431.36
Feb-04-2011,10543.52
Feb-07-2011,10592.04
Feb-08-2011,10635.98
Feb-09-2011,10617.83
Feb-10-2011,10605.65
Feb-14-2011,10725.54
Feb-15-2011,10746.67
Feb-16-2011,10808.29
Feb-17-2011,10836.64
Feb-18-2011,10842.80
Feb-21-2011,10857.53
Feb-22-2011,10664.70
Feb-23-2011,10579.10
Feb-24-2011,10452.71
Feb-25-2011,10526.76
Feb-28-2011,10624.09
Mar-01-2011,10754.03
Mar-02-2011,10492.38
Mar-03-2011,10586.02
Mar-04-2011,10693.66
Mar-07-2011,10505.02
Mar-08-2011,10525.19
Mar-09-2011,10589.50
Mar-10-2011,10434.38
Mar-11-2011,10254.43
Mar-14-2011,9620.49
Mar-15-2011,8605.15
Mar-16-2011,9093.72
Mar-17-2011,8962.67
Mar-18-2011,9206.75
Mar-22-2011,9608.32
Mar-23-2011,9449.47
Mar-24-2011,9435.01
Mar-25-2011,9536.13
Mar-28-2011,9478.53
Mar-29-2011,9459.08
Mar-30-2011,9708.79
Mar-31-2011,9755.10
Apr-01-2011,9708.39
Apr-04-2011,9718.89
Apr-05-2011,9615.55
Apr-06-2011,9584.37
Apr-07-2011,9590.93
Apr-08-2011,9768.08
Apr-11-2011,9719.70
Apr-12-2011,9555.26
Apr-13-2011,9641.18
Apr-14-2011,9653.92
Apr-15-2011,9591.52
Apr-18-2011,9556.65
Apr-19-2011,9441.03
Apr-20-2011,9606.82
Apr-21-2011,9685.77
Apr-22-2011,9682.21
Apr-25-2011,9671.96
Apr-26-2011,9558.69
Apr-27-2011,9691.84
Apr-28-2011,9849.74
May-02-2011,10004.20
May-06-2011,9859.20
May-09-2011,9794.38
May-10-2011,9818.76
May-11-2011,9864.26
May-12-2011,9716.65
May-13-2011,9648.77
May-16-2011,9558.30
May-17-2011,9567.02
May-18-2011,9662.08
May-19-2011,9620.82
May-20-2011,9607.08
May-23-2011,9460.63
May-24-2011,9477.17
May-25-2011,9422.88
May-26-2011,9562.05
May-27-2011,9521.94
May-30-2011,9504.97
May-31-2011,9693.73
Jun-01-2011,9719.61
Jun-02-2011,9555.04
Jun-03-2011,9492.21
Jun-06-2011,9380.35
Jun-07-2011,9442.95
Jun-08-2011,9449.46
Jun-09-2011,9467.15
Jun-10-2011,9514.44
Jun-13-2011,9448.21
Jun-14-2011,9547.79
Jun-15-2011,9574.32
Jun-16-2011,9411.28
Jun-17-2011,9351.40
Jun-20-2011,9354.32
Jun-21-2011,9459.66
Jun-22-2011,9629.43
Jun-23-2011,9596.74
Jun-24-2011,9678.71
Jun-27-2011,9578.31
Jun-28-2011,9648.98
Jun-29-2011,9797.26
Jun-30-2011,9816.09
Jul-01-2011,9868.07
Jul-04-2011,9965.09
Jul-05-2011,9972.46
Jul-06-2011,10082.48
Jul-07-2011,10071.14
Jul-08-2011,10137.73
Jul-11-2011,10069.53
Jul-12-2011,9925.92
Jul-13-2011,9963.14
Jul-14-2011,9936.12
Jul-15-2011,9974.47
Jul-19-2011,9889.72
Jul-20-2011,10005.90
Jul-21-2011,10010.39
Jul-22-2011,10132.11
Jul-25-2011,10050.01
Jul-26-2011,10097.72
Jul-27-2011,10047.19
Jul-28-2011,9901.35
Jul-29-2011,9833.03
Aug-01-2011,9965.01
Aug-02-2011,9844.59
Aug-03-2011,9637.14
Aug-04-2011,9659.18
Aug-05-2011,9299.88
Aug-08-2011,9097.56
Aug-09-2011,8944.48
Aug-10-2011,9038.74
Aug-11-2011,8981.94
Aug-12-2011,8963.72
Aug-15-2011,9086.41
Aug-16-2011,9107.43
Aug-17-2011,9057.26
Aug-18-2011,8943.76
Aug-19-2011,8719.24
Aug-22-2011,8628.13
Aug-23-2011,8733.01
Aug-24-2011,8639.61
Aug-25-2011,8772.36
Aug-26-2011,8797.78
Aug-29-2011,8851.35
Aug-30-2011,8953.90
Aug-31-2011,8955.20
Sep-01-2011,9060.80
Sep-02-2011,8950.74
Sep-05-2011,8784.46
Sep-06-2011,8590.57
Sep-07-2011,8763.41
Sep-08-2011,8793.12
Sep-09-2011,8737.66
Sep-12-2011,8535.67
Sep-13-2011,8616.55
Sep-14-2011,8518.57
Sep-15-2011,8668.86
Sep-16-2011,8864.16
Sep-20-2011,8721.24
Sep-21-2011,8741.16
Sep-22-2011,8560.26
Sep-26-2011,8374.13
Sep-27-2011,8609.95
Sep-28-2011,8615.65
Sep-29-2011,8701.23
Sep-30-2011,8700.29
Oct-03-2011,8545.48
Oct-04-2011,8456.12
Oct-05-2011,8382.98
Oct-06-2011,8522.02
Oct-07-2011,8605.62
Oct-11-2011,8773.68
Oct-12-2011,8738.90
Oct-13-2011,8823.25
Oct-14-2011,8747.96
Oct-17-2011,8879.60
Oct-18-2011,8741.91
Oct-19-2011,8772.54
Oct-20-2011,8682.15
Oct-21-2011,8678.89
Oct-24-2011,8843.98
Oct-25-2011,8762.31
Oct-26-2011,8748.47
Oct-27-2011,8926.54
Oct-28-2011,9050.47
Oct-31-2011,8988.39
Nov-01-2011,8835.52
Nov-02-2011,8640.42
Nov-04-2011,8801.40
Nov-07-2011,8767.09
Nov-08-2011,8655.51
Nov-09-2011,8755.44
Nov-10-2011,8500.80
Nov-11-2011,8514.47
Nov-14-2011,8603.70
Nov-15-2011,8541.93
Nov-16-2011,8463.16
Nov-17-2011,8479.63
Nov-18-2011,8374.91
Nov-21-2011,8348.27
Nov-22-2011,8314.74
Nov-24-2011,8165.18
Nov-25-2011,8160.01
Nov-28-2011,8287.49
Nov-29-2011,8477.82
Nov-30-2011,8434.61
Dec-01-2011,8597.38
Dec-02-2011,8643.75
Dec-05-2011,8695.98
Dec-06-2011,8575.16
Dec-07-2011,8722.17
Dec-08-2011,8664.58
Dec-09-2011,8536.46
Dec-12-2011,8653.82
Dec-13-2011,8552.81
