Date,Close,Ticker
Jan-04-2010,10654.79,Nikkei Index
Jan-05-2010,10681.83,Nikkei Index
Jan-06-2010,10731.45,Nikkei Index
Jan-07-2010,10681.66,Nikkei Index
Jan-08-2010,10798.32,Nikkei Index
Jan-12-2010,10879.14,Nikkei Index
Jan-13-2010,10735.03,Nikkei Index
Jan-14-2010,10907.68,Nikkei Index
Jan-15-2010,10982.1,Nikkei Index
Jan-18-2010,10855.08,Nikkei Index
Jan-19-2010,10764.9,Nikkei Index
Jan-20-2010,10737.52,Nikkei Index
Jan-21-2010,10868.41,Nikkei Index
Jan-22-2010,10590.55,Nikkei Index
Jan-25-2010,10512.69,Nikkei Index
Jan-26-2010,10325.28,Nikkei Index
Jan-27-2010,10252.08,Nikkei Index
Jan-28-2010,10414.29,Nikkei Index
Jan-29-2010,10198.04,Nikkei Index
Feb-01-2010,10205.02,Nikkei Index
Feb-02-2010,10371.09,Nikkei Index
Feb-03-2010,10404.33,Nikkei Index
Feb-04-2010,10355.98,Nikkei Index
Feb-05-2010,10057.09,Nikkei Index
Feb-08-2010,9951.82,Nikkei Index
Feb-09-2010,9932.9,Nikkei Index
Feb-10-2010,9963.99,Nikkei Index
Feb-12-2010,10092.19,Nikkei Index
Feb-15-2010,10013.3,Nikkei Index
Feb-16-2010,10034.25,Nikkei Index
Feb-17-2010,10306.83,Nikkei Index
Feb-18-2010,10335.69,Nikkei Index
Feb-19-2010,10123.58,Nikkei Index
Feb-22-2010,10400.47,Nikkei Index
Feb-23-2010,10352.1,Nikkei Index
Feb-24-2010,10198.83,Nikkei Index
Feb-25-2010,10101.96,Nikkei Index
Feb-26-2010,10126.03,Nikkei Index
Mar-01-2010,10172.06,Nikkei Index
Mar-02-2010,10221.84,Nikkei Index
Mar-03-2010,10253.14,Nikkei Index
Mar-04-2010,10145.72,Nikkei Index
Mar-05-2010,10368.96,Nikkei Index
Mar-08-2010,10585.92,Nikkei Index
Mar-09-2010,10567.65,Nikkei Index
Mar-10-2010,10563.92,Nikkei Index
Mar-11-2010,10664.95,Nikkei Index
Mar-12-2010,10751.26,Nikkei Index
Mar-15-2010,10751.98,Nikkei Index
Mar-16-2010,10721.71,Nikkei Index
Mar-17-2010,10846.98,Nikkei Index
Mar-18-2010,10744.03,Nikkei Index
Mar-19-2010,10824.72,Nikkei Index
Mar-23-2010,10774.15,Nikkei Index
Mar-24-2010,10815.03,Nikkei Index
Mar-25-2010,10828.85,Nikkei Index
Mar-26-2010,10996.37,Nikkei Index
Mar-29-2010,10986.47,Nikkei Index
Mar-30-2010,11097.14,Nikkei Index
Mar-31-2010,11089.94,Nikkei Index
Apr-01-2010,11244.4,Nikkei Index
Apr-02-2010,11286.09,Nikkei Index
Apr-05-2010,11339.3,Nikkei Index
Apr-06-2010,11282.32,Nikkei Index
Apr-07-2010,11292.83,Nikkei Index
Apr-08-2010,11168.2,Nikkei Index
Apr-09-2010,11204.34,Nikkei Index
Apr-12-2010,11251.9,Nikkei Index
Apr-13-2010,11161.23,Nikkei Index
Apr-14-2010,11204.9,Nikkei Index
Apr-15-2010,11273.79,Nikkei Index
Apr-16-2010,11102.18,Nikkei Index
Apr-19-2010,10908.77,Nikkei Index
Apr-20-2010,10900.68,Nikkei Index
Apr-21-2010,11090.05,Nikkei Index
Apr-22-2010,10949.09,Nikkei Index
Apr-23-2010,10914.46,Nikkei Index
Apr-26-2010,11165.79,Nikkei Index
Apr-27-2010,11212.66,Nikkei Index
Apr-28-2010,10924.79,Nikkei Index
Apr-30-2010,11057.4,Nikkei Index
May-06-2010,10695.69,Nikkei Index
May-07-2010,10364.59,Nikkei Index
May-10-2010,10530.7,Nikkei Index
May-11-2010,10411.1,Nikkei Index
May-12-2010,10394.03,Nikkei Index
May-13-2010,10620.55,Nikkei Index
